"County","Title","Category","GPS","Near","Directions","Text"
"Washita","Peace Luthern","cemetery","35.392204,-98.976434","Bessie, OK","One mile north of Hwy 54A and US183.","Bessie area cemetery."
"Washita","Plainview","cemetery","35.457693, -98.64062","Weatherford","N/A","N/A"
"Washita","Pleasant Ridge","cemetery","35.108821, -99.130951","Sentinel","N/A","N/A"
"Washita","Port","cemetery","35.203994, -99.2989","Sentinel","N/A","N/A"
"Washita","Red Top","cemetery","35.301461, -98.70259","Colony","N/A","N/A"
"Washita","Retrop","cemetery","35.141715, -99.342163","Sentinel","N/A","N/A"
"Washita","Russell","cemetery","35.261996, -99.019927","Cordell","N/A","N/A"
"Washita","Sentinel","cemetery","35.175848, -99.185647","Sentinel","N/A","N/A"
"Washita","South Burns","cemetery","35.262551, -99.161679","Dill City","N/A","N/A"
"Washita","St. Francis","cemetery","35.392499, -99.246134","Canute","N/A","Small country cemetery north of Burns Flat."
"Washita","Strickland","cemetery","35.219649, -98.994309","Cordell","N/A","N/A"
"Washita","Union Hatchett","cemetery","35.407741,-98.975408","Bessie, OK","N/A","Small country cemetery north of Bessie."
"Washita","Unknown","cemetery","35.465062, -98.994735","Clinton","N/A","N/A"
"Woods","Cowboy Cemetery","cemetery","36.96656N, 99.14971W","Freedom, OK","Go eleven miles north of the junction of U.S. 64 and Highway 50 north (known as Camp Houston north of Freedom, Oklahoma). Continuing north the paved road will end at a gravel/dirt road Y. There is a sign pointing west to Cowboy Cemetery. You will travel some miles west on a winding gravel/dirt road. You will come to another Y with a sign pointing to the right. Go just a little bit down that road, cemetery is on the right. Watch for it, the cemetery's fencing is the same color as oil/gas pipelines in the area. Also watch out for cattle trucks.","On September 12, 1878, the bodies of Reuben Bristow and Fred Clark were found near hear. It was believed they had been killed by Northern Cheyenne Indians lead by Chief Dull Knife. Bristow and Clark where cowboys hauling salt for Comanche Pool cattle when Dull Knife fled harsh conditions on the reservation near canton. The salt haulers, probably crossed the path of the Cheyenne during their desperate flights home to the northern plains. *"
"Woodward","Elmwood","cemetery","36.417494,-99.413917","Woodward, OK","Downs Ave, Woodward, OK. Turn west on Downs Ave from Hwy 3, approx. 1.5 miles, on south side of road.","Woodward area cemetery."
"Woodward","Historic Fort Supply Cemetery","cemetery","36.57144, -99.56224","Ft Supply, OK","Just west of the  Ft. Supply historical district on U.S. 270.  East side of Ft. Supply, OK","This site was chosen as the second cemetery for Fort Supply. While many solders and civillians were buried here, the solders were moved to Fort Leavenworth, Kansas in 1895 after the post was abandoned.  Some civilian graves are unmarked, some headstones remain."
"Woodward","North Persimmon","cemetery","36.275232,-99.317222","Sharon, OK","N/A","Sharon area cemetery."
"Woodward","Vonton","cemetery","36.348464,-99.299562","Woodward, OK","N/A","Small country cemetery SE of Woodward."
