"County","Title","Category","GPS","Directions","Text"
"Noble","Sumner","Unknown","N/A","N/A","N/A"
"Noble","Three Sands","Unknown","N/A","N/A","Established in 1921, it existed as a number of business districts and oil-field camps built along the roads. Although the oil bust came in 1926, Three Sands continued until the schools closed in 1946 and the businesses ceased in 1951."
"Nowata","Alluwe","Unknown","36.611811, -95.554932","N/A","Alluwe is a ghost town in Nowata County, Oklahoma, United States. The post office was established as Lightning Creek on October 23, 1872. On June 27, 1883, the town was renamed Alluwe. The post office existed under this new name until July 31, 1959.  In the 1950s the U.S. Army Corps of Engineers constructed the Oologah Dam across the Verdigris River to form Oologah Lake. The townsite was purchased by the government since it was within the Oologah Reservoir project area. Many residents moved a short distance eastward and formed New Alluwe."
"Nowata","Wann","Unknown","36.915372, -95.804414","N/A","Wann is known for the &quot;Six Flag Poles Over Wann America&quot;.  Wann has a population of just over 100."
"Okfuskee","Burke City","Abandoned","N/A","N/A","Flooding of the North Canadian River caused the abandonment of Burke City in Okfuskee County in the early 1900s."
"Oklahoma","Douglas City","Unknown","N/A","N/A","N/A"
"Okmulgee","Hoardsville","Barren","N/A","3 miles south of Dewar","Formerly known as Senora. Post office name changed to Hoardsville 1909, closed 1917. Named for John H. Hoard, first postmaster.  Reverend Hoard was born in Hopkinsville, KY, and in 1899 moved to Okmulgee, OK, to become pastor of the First Baptist Church. Okmulgee is 30 miles from Tulsa. Hoard was the husband of Clara Locke Hoard, with whom he had 11 children. Rev. Hoard was also pastor of the Union Baptist Church in Grayson, Oklahoma. He farmed his land next to the Henryetta gas and oil fields. He was chair of the Educational Board of the Oklahoma Baptist Convention, a member and moderator of the Southwest Creek and Seminole District Association, and the Hoardsville postmaster. Hoard had come to Oklahoma during the period author M. C. Hill describes as the &quot;Great Black March Westward&quot; that began in 1890 and peaked in 1910. Most came from eight southern states, including Kentucky. This was also the period when small all-Negro communities were developed, and there was an attempt to make Oklahoma an all Negro state. Hoardsville is usually not mentioned as one of the better known all-Negro communities. Hundreds of Negroes were arriving in Oklahoma each day, looking for utopia but finding that there were ongoing clashes between Negroes, Native Americans, and Whites. For more see &quot;Reverend J. H. Hoard&quot; in Who's Who Among the Colored Baptists of the United States, by S. W. Bacote; and M. C. Hill, &quot;The All Negro Communities of Oklahoma,&quot; The Journal of Negro History, vol. 31, issue 3 (July 1946), pp. 254-268."
"Osage","Denoya","Unknown","N/A","N/A","Denoya ceased to exist when the post office closed in 1942, following the abandonment of the Atchison, Topeka and Santa Fe Railway line in 1939.  Post Office opened Dec. 31, 1921 and closed Sep. 30, 1942."
"Osage","Foraker","Unknown","N/A","N/A","N/A"
"Osage","Gray Horse","Unknown","36.549845,-96.647578","N/A","May 1890 – Post office at GrayHorse established (through December, 1931); located 5 miles SE of Fairfax; named for Gray Horse (Ko-wah-ho-tsa), an Osage medicine man"
"Osage","Keystone","Unknown","N/A","N/A","N/A"
"Osage","Strohm","36.643045,-96.555448","36.643045,-96.555448","N/A ","Barren land now. Shows on some maps. "
"Ottawa","Cardin","Abandoned","36.975692, -94.851612","N/A","Cardin is a town in Ottawa County, Oklahoma, United States. The population was 150 at the 2000 census. The town is located within the Tar Creek Superfund site; the vast majority of its residents have accepted federal buyout offers, leaving the town mostly vacant as of 2009.  Post office opened 12/21/1915."
"Ottawa","Douthat","Abandoned","36.959167, -94.836111","N/A","Douthat is a ghost town in Ottawa County, Oklahoma, United States. Douthat is 2 miles (3 km) south of Picher. Douthat once had a post office, which opened on March 17, 1917. The community was named after Zahn A. Douthat, the owner of the townsite. Douthat is now abandoned and part of the Tar Creek Superfund site."
"Ottawa","Picher","Abandoned","36.987016, -94.830784","N/A","Picher is a ghost town and former city in Ottawa County, Oklahoma, United States. It was formerly a center of lead and zinc mining. The population was 1,640 at the 2000 census. Discoveries of ground contamination and the possibility of a cave-in of mines under the city have prompted all of its population to evacuate, and the nearby town of Cardin is following suit. The city is within the boundaries of the Tar Creek Superfund site.  In 1913, as the Tri-State district expanded, lead and zinc ore was discovered on Harry Crawfish's claim and mining began. A townsite developed overnight  around the new workings and was named Picher in honor of O. S. Picher, owner of Picher Lead Company. Incorporated in 1918, by 1920 Picher had a population of 9,726. Peak population occurred at 14,252 in 1926 followed by a gradual decline paralleling a decrease in mining activity, to 2,553 by 1960.  The Picher area became the most productive lead-zinc mining field in the Tri-State district producing over $20 billion worth of ore between 1917 and 1947. More than fifty percent of the lead and zinc metal used during World War I were produced by the Picher district. At its peak over 14,000 miners worked the mines and another 4,000 worked in mining services. Many of these workers commuted by an extensive trolley system from as far away as Joplin and Carthage, Missouri. Mining ceased in 1967 and water pumping from the mines ceased. The contaminated water from some 14,000 abandoned mine shafts, 70 million tons of mine tailings, and 36 million tons of mill sand and sludge remained as a huge environmental cleanup problem. The area became part of the Tar Creek Superfund site.  On April 24, 2006, Reuters reported that Picher had been scheduled to be closed and all residents removed. Due in large part to the removal of large amounts of subsurface material during mining operations, many of the city's structures have been deemed in imminent danger of caving in.  The city's pharmacist, Gary Linderman was featured in the May 28, 2007, issue of People magazine in the Heroes Among Us article &quot;Prescription for Kindness&quot;. He vowed to stay as long as there was anyone left who needed him and to be the last one out of the city.  On May 10, 2008, Picher was struck by a tornado. There were eight confirmed deaths, possibly including one child, and many other injuries. The tornado first touched down near the Kansas-Oklahoma border in Oklahoma southwest of Chetopa, Kansas, and tracked eastward. It then slammed into Picher with devastating results. Twenty blocks of the city suffered extensive damage with houses and businesses destroyed or flattened. The damage in Picher was rated at &quot;EF4&quot;. At least 150 others were injured in Picher alone. The tornado continued eastward, passing just north of Quapaw and Peoria before crossing Interstate 44 into Missouri. This was the deadliest tornado in Oklahoma since the South Oklahoma City F5 tornado on May 3, 1999, which killed 36. The federal government also decided that there would be no aid given to rebuild homes, but the buyouts would continue as previously scheduled and people will be assisted in relocation.  Oklahoma Governor Brad Henry sent National Guard troops as well as emergency personnel to assist the hardest hit area in Picher; twenty blocks which suffered major damage including several destroyed structures. Damage was reported in Peoria and Quapaw.  Loss of power from the tornado forced the city to go on a boiled water notice. Staff from the Oklahoma Rural Water Association arrived to assist, since the utility's testing equipment was destroyed by the storm. With an emergency generator to supply power, rural water staff had the system running normally only two days after the tornado struck.  In April 2009, residents voted 55–6 to dissolve the Picher-Cardin school district; it graduated its final class of 11 in May. By 2009 the district's enrollment had dropped to a total of 49 students from approximately 340 three years prior. Remaining students will attend Commerce and Quapaw school districts.  The city's post office was scheduled to close in July 2009 and the city ceased operations as a municipality on September 1, 2009.  By June 29, 2009, all of the residents had been given federal checks to enable them to relocate from Picher permanently. The city is considered to be too toxic to be habitable. On the last day, all the final residents met at the school auditorium to say goodbye.  The people of the adjacent city of Treece, Kansas, would like to see the government carry out a similar relocation program in their city, too. On October 29, 2009, Congress voted to allow the EPA to fund the relocation of the remaining citizens of Treece."
"Ottawa","Zincville","Unknown","36.991231, -94.808898","N/A","Post office July 2, 1917 to Oct. 31, 1954"
"Pawnee","Blackburn","Unknown","N/A","N/A","N/A"
"Payne","Ingalls","Semi-Abandoned","36.101786, -96.881366","N/A","Ingalls is a small community in Payne County, Oklahoma, about 10 miles east of Stillwater. The town was settled out of the &quot;Unassigned Lands&quot; in 1889, and had a post office from January 22, 1890, until October 31, 1907. It was named for Senator John J. Ingalls of Kansas.  Ingalls was the site of a famous Battle of Ingalls on September 1, 1893, which was a shootout between U.S. Marshals and the Doolin-Dalton gang. Three marshals and two residents were killed, one of the residents being killed while shooting at the marshals. Several people were wounded, including two of the outlaws, and one outlaw was captured. A stone monument stands at Ingalls a short distance from where one of the deputies was shot.  A series of old buildings are still present, including the Ingalls Hotel, a livery stable, saloon, and general store. Most of the townsite is now private residences."
"Payne","Quay","Semi-Abandoned","36.159559, -96.709664","N/A","Quay, first know as Lawson, is an unincorporated community in Pawnee and Payne counties in the U.S. state of Oklahoma. The population was 47 at the 2000 census, at which time it was still a town; the community disincorporated on August 23, 2000."
"Pittsburg","Adamson","Semi-Abandoned","34.923889, -95.546944","N/A","The post office was established on March 1, 1906. The town was named for Peter Adamson, a mine owner.  Adamson first developed as a coal mining camp. The town reached its peak during World War I. The Rock Island and Katy railroads both built spurs into the town. One of the worst mining disasters in Oklahoma occurred at Mine No. 1 on September 4, 1914."
"Pontotoc","Center","Unknown","N/A","N/A","Post Office opened June 9, 1890, closed Feb. 15, 1928"
"Pontotoc","Fittstown","Semi-Abandoned","34.614569, -96.634681","N/A","N/A"
"Pontotoc","Francis","Semi-Abandoned","34.873646, -96.594804","N/A","Post office opened April 17, 1894."
"Pottawatomie","Earlsboro","Semi-Abandoned","35.296927, -96.798305","N/A","This town is said to have boomed and died twice.  Once a popular whiskey town in the Oklahoma Territory and then an oil boom town.  The town is once again on the dying side."
"Pottawatomie","Keokuk Falls","Unknown","N/A","N/A","N/A"
"Pottawatomie","Sacred Heart","Unknown","N/A","N/A","N/A"
"Pottawatomie","Violet Springs","Unknown","N/A","N/A","N/A"
"Pushmataha","Abbott","Unknown","N/A","N/A","N/A"
"Pushmataha","Cohn","Unknown","N/A","N/A","N/A"
"Pushmataha","Crum Creek","Unknown","N/A","N/A","N/A"
"Pushmataha","Dela","Barren","34.200371, -95.522197","N/A","Dela is a community in Pushmataha County, Oklahoma six miles southeast of Antlers, Oklahoma. A United States Post Office operated here from May 12, 1920 to October 31, 1954. It was named for Dela M. Whitaker, local schoolteacher. Dela was originally known as White Church, or Itissa Busha in the Choctaw language, after a Methodist congregation built there by a white settler for use by Choctaw Indians."
"Pushmataha","Eubanks","Unknown","N/A","N/A","N/A"
"Pushmataha","Gee","Unknown","N/A","N/A","N/A"
"Pushmataha","Johns","Unknown","N/A","N/A","N/A"
"Pushmataha","Jumbo","Unknown","N/A","N/A","N/A"
"Pushmataha","Kiamichi","Unknown","N/A","N/A","N/A"
"Pushmataha","Kosoma","Unknown","N/A","N/A","N/A"
"Pushmataha","Lyceum","Unknown","N/A","N/A","N/A"
"Pushmataha","Nolia","Unknown","N/A","N/A","N/A"
"Pushmataha","Rodney","Unknown","N/A","N/A","N/A"
"Pushmataha","Snow","Unknown","34.395844, -95.412914","N/A","Snow is a community in Pushmataha County, Oklahoma, 18 miles northeast of Antlers, Oklahoma.  A United States Post Office was established here on July 21, 1930. It was named for George Snow, local resident and merchant.  Located in the Kiamichi Mountains, but not in the Kiamichi River valley, Snow was very isolated until construction and paving of U.S. Highway 271 during the 1950s, connecting the area to Nashoba, Oklahoma and Clayton, Oklahoma on the north and Antlers on the south.  Snow is located along the upper reaches of Big Cedar Creek, which is almost always well watered and experiences reliable flow regardless of season.  Although Snow once supported a school, churches and more than one general store, it never developed into a commercial or trading center."
"Pushmataha","Tuskahoma","Unknown","N/A","N/A","N/A"
"Roger Mills","Berlin","Semi-Abandoned","35.450690, -99.625123","N/A","N/A"
"Roger Mills","Carpenter","Barren","35.529936, -99.322730","Take Hwy 34 North out of Elk City 7 1/2 miles.  There are a few houses in the area, but none of the original town remains.","N/A"
"Roger Mills","Crawford","Semi-Abandoned","35.826986, -99.799570","N/A","N/A"
"Roger Mills","Dempsey","Barren","N/A","N/A","N/A"
"Roger Mills","Durham","Unknown","35.842036, -99.925434","N/A","N/A"
"Roger Mills","Grimes","Barren","N/A","N/A","N/A"
"Roger Mills","Jester","Barren","N/A","N/A","N/A"
"Roger Mills","Rankin","Barren","35.624706, -99.918199","N/A","Only remains of this community now is the cemetery."
"Roger Mills","Roll","Semi-Abandoned","35.783978, -99.712171","N/A","N/A"
"Roger Mills","Strong City","Semi-Abandoned","35.670275, -99.599603","N/A","Post Office Sep. 26, 1912 to June 1, 1982"
"Rogers","Jamestown","Semi-Abandoned","36.570063, -95.629318","N/A","Jamestown is an unincorporated community in Rogers County, Oklahoma, United States. The population was 10 at the 2000 census, at which time it was a town; the community disincorporated in 1998, but the change was not reported to the Census Bureau until 2006."
"Rogers","Talala","Semi-Abandoned","36.529050, -95.699292","N/A","The Talala Post Office was established June 23, 1899. Talala was named for Captain John Talala of the 3rd Regiment, Indian Home Guard and a prominent Cherokee"
"Rogers","Winganon","Neglected","36.553922, -95.561080","N/A","Town is somewhere between Semi-Abandoned and neglected.  Only a few homes and a bait house exist still.  The walls to the abandoned school house still stand."
"Seminole","Cromwell","Semi-Abandoned","35.340489, -96.458786","N/A","N/A"
"Seminole","Lima","Semi-Abandoned","35.173891, -96.599529","N/A","N/A"
"Seminole","Tidmore","Unknown","N/A","N/A","N/A"
"Seminole","Vamoosa","Barren","34.985295, -96.669994","N/A","N/A"
"Sequoyah","Hanson","Unknown","N/A","N/A","N/A"
"Sequoyah","Nicksville","Unknown","N/A","N/A","N/A"
"Sequoyah","Tahlonteeskee","Unknown","N/A","N/A","N/A"
"Stephens","Sante Fe","Unknown","N/A","N/A","N/A"
"Texas","Beer City","Abandoned","36.979190, -101.031566","N/A","The town was never plated or had a post office.  Was known for the Elephant Saloon.  A popular place for those traveling on the rail road before entering the dry counties in Kansas.  In 1888 Beer City, in No Man's Land, catered to cowboys and cattle dealers, with its saloons and dance halls. Beer City existed until the passage of the Organic Act of 1890, which made the Panhandle part of Oklahoma Territory, and law and order prevailed."
"Texas","Hough","Semi-Abandoned","36.871815, -101.576221","N/A","N/A"
"Texas","Mouser","Barren","36.870837, -101.414926","N/A","N/A"
"Texas","Panoma","Unknown","36.833959, -101.259950","N/A","N/A"
"Texas","Straight","Neglected","36.877642, -101.449050","N/A","N/A"
"Tillman","Eschiti","Barren","N/A","N/A","Rivalry among town promoters caused the demise of several Oklahoma towns. In southwest Oklahoma in Tillman County, Eschiti was platted in 1907 by the U.S. Department of Interior. When the Wichita Falls and Northwestern Railroad extended its line from Texas into Oklahoma, Frank Kell, a townsite promoter, and others had secured the right-of-way from the federal government. Thus, Kell routed the rail line two miles southwest of Eschiti and established Kell City. While the two towns feuded, Rev. A. J. Tant platted a town on part of his land, which was located between Eschiti and Kell City. Soon citizens were moving from those two towns to the new town of Grandfield. By 1909 the former towns disappeared.  Eschiti and Kell City merged to become Grandfield."
"Tillman","Hollister","Neglected","34.342234, -98.871328","N/A","Post Office closed Jul. 31, 2010"
"Tillman","Isadore","Unknown","N/A","N/A","N/A"
"Tillman","Kell City","Barren","N/A","N/A","Rivalry among town promoters caused the demise of several Oklahoma towns. In southwest Oklahoma in Tillman County, Eschiti was platted in 1907 by the U.S. Department of Interior. When the Wichita Falls and Northwestern Railroad extended its line from Texas into Oklahoma, Frank Kell, a townsite promoter, and others had secured the right-of-way from the federal government. Thus, Kell routed the rail line two miles southwest of Eschiti and established Kell City. While the two towns feuded, Rev. A. J. Tant platted a town on part of his land, which was located between Eschiti and Kell City. Soon citizens were moving from those two towns to the new town of Grandfield. By 1909 the former towns disappeared.  Eschiti and Kell City merged to become Grandfield."
"Tillman","Loveland","Unknown","34.305356, -98.771723","N/A","Post office closed April 17, 2004"
"Tillman","Parton","Unknown","N/A","N/A","N/A"
"Tillman","Quanah","Unknown","N/A","N/A","N/A"
"Tillman","Siboney","Unknown","N/A","N/A","N/A"
"Washington","Ramona","Semi-Abandoned","36.530320, -95.923473","N/A","Ramona is a town in Washington County, Oklahoma, United States. The population was 564 at the 2000 census. The town began as Bon-Ton, but changed its name to Ramona in 1899 in honor of the Helen Hunt Jackson novel of the same name. The town is one of four communities that makes up the consolidated Caney Valley School District.  Ramona was an oil town and was also a stop for the Santa Fe railroad. When the oil dried up, there was no other industry to support Ramona, so the town began to die out. Very little business remains in the town, aside from a garage, a bank, a medical clinic, a small grocery, and sundry other small businesses. For 30 years the town was under the jurisdiction of the Washington County Sheriff's Office after the police department disbanded and the Chief of Police was sentenced to prison. Under the leadership of the former mayor, the late Robert Fiddler, the police department was reinstated, the water lines were repaired/replaced, and a grant was accepted from the Cherokee Nation to repave the streets. The town also supplies natural gas service to the Wal-Mart distribution center 5 miles north of town."
"Washington","Silver Lake","Unknown","N/A","N/A","N/A"
"Washita","Braithewaite","Barren","35.375600, -99.056381","N/A","Small railroad town.  Up until a few years ago a few foundation blocks from some of buildings could still be seen."
"Washita","Cascorillo","Ancient Site","N/A","3 miles SE of Canute","Cascorillo is really more of a mining camp than a town.  The exact location of the camp is unknown.  A story from a late 1890's newspaper article mentions that the camp was about three miles south east of present day Canute.  It is said to have been a Spanish mining camp for gold.  The story mentions that pans used to mine for ore were found and evidence of other materials used by the Spanish were found.  These claims have never been verified that our research has been able to conclude."
"Washita","Cloud Chief","Barren","35.252875,-98.842504","N/A","The town is not exactly 100% barren.  There are still about five homes in the old part of town, but much of the town looks barren.  There are steps to no where that were probably once to a church.  An abandoned gas station that roof has fallen in on and the walls have fallen down on most of it.  The old school is nothing but a shell of a building and is being used to store agriculture stuff in."
"Washita","Combs","Barren","N/A","N/A","N/A"
"Washita","Cowden","Barren","35.247613, -98.711787","N/A","N/A"
"Washita","Cowden Junction","Barren","35.290824, -98.711758","N/A","N/A"
"Washita","Foss","Semi-Abandoned","35.454838,-99.169874","N/A","Foss is a town in Washita County, Oklahoma, United States. At one time the town had a population of nearly 1000 residents. During World War II, the town boasted a population of over 300 residents, relying primarily on Route 66 travellers (which passed half a mile south of the city) and a U.S. naval base south of the town that operated during wartime. A gas station and a café also operated in the town around that time. The population was 127 at the 2000 census. Today, though still incorporated, Foss is considered to be a ghost town.  The history of Foss began when settlers from the area of the Wilson post office moved four miles north to the valley of Turkey Creek in the late 1890s. They initially wanted their new post office to be called Graham, but since that name was already taken it was named Maharg. A flash flood on May 2, 1902 wiped out the town on Turkey Creek, destroying businesses and drowning several people. The town rebuilt on higher ground and was named Foss. The post office began operation on September 15, 1900.  The town expanded rapidly. By 1905 the town had a population between 900 and 1000 residents. It boasted two banks, three cotton gins, and by 1912 had an electric plant, two hotels and an opera house. The population stabilized near 500. In the 1920s the town began to have problems and the nearby cities of Clinton and Elk City absorbed more and more trade.  During the Great Depression more people moved away, though in the 1950s and 1960s there was an economic revival due to the nearby Air Force installation at Burns Flat. When the base closed and Interstate 40 bypassed Foss the town declined further. The last bank left in September 1977.  Today mostly foundations and sidewalks are all that is left of Foss. A church built in 1894 and a pioneer jail still stand.  Foss had two newspapers, the Foss Enterprise and the Foss Banner. It was served by the Choctaw, Oklahoma and Gulf Railroad (Rock Island) railroad."
"Washita","Herald","Barren","N/A","N/A","Post Office est. 11/30/1898 dis. 06/14/1902"
"Washita","Oakdale","Barren","N/A","N/A","N/A"
"Washita","Old Retrop","Barren","35.146234,-99.342959","One mile east and 1/2 mile south from Hwy 152 and Hwy 6 intersection west of Sentinel.","Old Retrop is actually the original Retrop.  The town site was later moved to the highway intersection of 152 & 6 about a mile and NW of the original town site.  The cemetery is located about a mile south from this town site and a few abandoned homes are still standing in the area."
"Washita","Port","Barren","35.204538, -99.306217","N/A","The actual community of Port is located about 2 miles west of the Port School location."
"Washita","Rainey","Barren","N/A","N/A","N/A"
"Washita","Retrop","Barren","35.159727,-99.359742","Intersection of OK Hwy 6 and OK Hwy 55. West of Sentinel, Oklahoma (OK Hwy 55). North of Granite, Oklahoma (OK Hwy 6)","History states that most of the land around Retrop was settled in 1896-97. A man named Porter from Iowa, made application for a post office to be named Porter, but because there was an office in Indian territory by that name. The post office department spelled the name backward and &quot;Retrop&quot; was the new post office.  Post Office Dates: est. 01/12/1900 dis. 02/28/1905"
"Washita","Salem","Barren","N/A","N/A","N/A"
"Washita","Wood","Barren","N/A","N/A","Town site is located just east of the old Port School location.  Wood and Port consolidated together to form the Port School District which at one time in Oklahoma was one of the largest by geographical area."
"Woods","Avard","Unknown","N/A","N/A","N/A"
"Woodward","Quinlan","Unknown","N/A","N/A","N/A"
